,occ1990dd,task_abstract,task_routine,task_manual
212,526,1.65208530426,6.36135101318,1.06707632542
213,527,2.4188709259,7.62474870682,4.08021211624
214,533,2.67323637009,7.01715946198,1.33261859417
215,534,2.01926970482,7.14827013016,2.20499062538
216,535,1.79431891441,8.16805076599,0.126464441419
217,536,2.05308628082,7.29075336456,1.03311729431
218,539,1.68714821339,6.47043895721,1.0882999897
219,543,2.13908004761,7.36124134064,2.04822301865
220,544,1.75203692913,7.20280122757,4.09422302246
221,549,2.09976911545,7.29567241669,1.84008288383
222,558,5.58487510681,3.96537160873,1.41661703587
223,563,1.54213142395,7.06365680695,2.74794626236
224,567,2.18969035149,7.37529373169,4.50593042374
225,573,1.06195139885,7.5,2.72767901421
226,575,3.06869745255,7.34485244751,2.46634292603
227,577,2.74716901779,6.94725894928,4.34201526642
228,579,1.37959730625,7.32019615173,2.54053068161
229,583,1.08584260941,7.5,2.71460652351
230,584,1.31592524052,7.27433919907,4.80132865906
231,585,2.18105745316,7.32839775085,2.54879903793
232,588,0.997737884521,6.13838911057,2.6185131073
233,589,1.22033023834,6.84244155884,2.10284590721
234,593,1.90615427494,6.65598058701,2.63390827179
235,594,0.547289907932,6.51662254333,4.99276018143
236,595,1.18444240093,7.39409923553,4.95477390289
237,597,1.24959850311,6.95456695557,4.81135368347
238,598,1.11856687069,5.22760868073,3.61473035812
239,599,1.3408125639,5.6553273201,2.49432253838
240,614,0.905864059925,4.83133935928,2.91811418533
241,615,2.53576755524,5.40088844299,2.53570508957
242,616,0.707403421402,4.54853534698,2.36275362968
243,617,0.699409365654,4.53714418411,2.34038352966
244,628,6.25092220306,3.98007678986,0.880377650261
245,634,2.64569973946,8.17259788513,0.0830760374665
246,637,2.67841482162,8.23519897461,0.469874799252
247,643,2.91295218468,7.25830459595,0.0
248,644,0.879133999348,6.83370399475,0.103176832199
249,645,2.76778721809,7.64720058441,0.0548130907118
250,649,1.1220510006,7.88968658447,0.700695157051
251,653,2.94688630104,7.44014120102,2.32397413254
252,657,2.65327882767,7.17096042633,2.39599823952
253,658,0.713371932507,5.63233184814,0.152233123779
254,666,1.35572183132,7.7369799614,2.04091310501
255,668,1.82962167263,7.31806755066,0.255949288607
256,669,1.43717086315,6.88863754272,2.99297690392
257,675,0.945697903633,5.40369558334,0.925269007683
258,677,2.32434201241,7.1595249176,0.12481212616
259,678,2.2947769165,8.27080726624,1.78905010223
260,679,0.948504209518,6.35350418091,1.82783961296
261,684,1.60773086548,6.53626203537,0.411325216293
262,686,1.49331605434,6.54975223541,0.0
263,687,1.26447629929,6.7796626091,0.137189626694
264,688,0.86139023304,5.11360549927,0.985673666
265,694,2.68712162971,6.08922195435,1.15630471706
266,695,4.02448511124,5.44978284836,1.73963141441
267,696,1.92683899403,5.75252866745,1.33824050426
268,699,1.20300912857,5.20066356659,1.86668407917
269,703,1.79324281216,7.24106121063,0.543369650841
270,706,0.838929533958,5.55485534668,2.41668176651
271,707,1.83284628391,4.57792806625,0.525812149048
272,708,1.50241625309,6.87487983704,0.316395431757
273,709,0.757894635201,6.5550122261,0.189024358988
274,713,1.18582594395,5.83947086334,2.25433659554
275,719,0.958645582199,5.33723211288,0.890733003616
276,723,1.63043653965,6.56267023087,0.181132957339
277,724,1.58962380886,6.4312748909,1.02537119389
